"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","target"
-443.171016966031,-7.04693166073412,-0.651368116572965,"s",FALSE,"l",-2.38610405473877,-12.0150353029082,-53.3667197489832,294.178646943272,-785770.741054128,10.3584548807763,"e",NA,42.025520991896,-13.4727130254451,"w1",-749.621750742561,96.7280380967371,0.0853527883113493,"t4","b",-263.102351659913,-0.828607835399498,-5915.54451276868,14.2973750957223,-0.299288097577423,"b","z2","x",0
-230.778557715878,-7.04693166073412,-0.552332770098466,"s",NA,"l",-2.25447521203011,-11.5292376146838,-252.553854834826,346.713749685899,-15782627.2326032,10.9090096520359,"b",NA,49.5305356694141,116.390270169864,"o1",-2829.29425278516,294.591527434688,0.53074038987379,"h4","b",-133.804148639437,-1.11197462137881,-5901.51054551519,43.1649451507685,0.0120268426678924,"b","k1","m",0
77.2184420501557,-7.04693166073411,-0.291179722147761,"s",FALSE,"s",-1.03182878042757,-14.1431629659003,-104.479051608073,413.070691625476,-317002542.025359,10.7854858797049,"a",NA,59.0100988036394,1790.83054946924,"b2",-851.316155304691,250.035441525243,-0.4735616031879,"f1","a",380.620191223106,-1.01532341050798,-5886.55825839149,-4.15246670579694,-0.295075170101463,"m","s2","r",0
-351.346544129189,-7.04693166073412,-0.525861886266852,"s",FALSE,"u",-1.94086286866385,-12.355589856863,-297.12922040199,485.092043739018,-4.82794229406863,10.9814235138615,"e",NA,69.2988633912883,1024.13904321038,"k1",NA,179.150466022789,0.120288579443693,"j3","b",1836.56680948343,-1.14872779139854,-5902.86240758178,2.16743384651273,-0.18401142866312,"b","s1","l",0
-45.7611446590157,-7.04693166073412,-0.484377665336709,"s",NA,"l",-2.26684302275442,-12.1102101517618,-54.7794189207321,443.408477852333,-35.6739364532731,10.1809986665861,"b",NA,63.344068264619,6.86376868530409,"d1",NA,286.71714017177,0.151557596281583,"e3","b",-215.838000325977,-1.1475638827462,-5904.60960311834,9.70955353410029,0.0983848326178241,"b","z2","x",0
-265.138308256211,-7.04693166073412,-0.706812107085949,"s",FALSE,"l",-2.38875429989398,-10.7240854573203,-170.736953010706,281.589991997198,-96.9718132105349,10.9318714792328,"d",NA,40.2271417138854,382.890067241611,"y1",-2374.69150768568,250.416827454194,-0.623969049169734,"l4","b",-204.319393045731,-1.09761563861583,-5897.66422750045,27.8757227298654,0.0818923434371384,"b","k1","m",0
126.570423035268,-7.04693166073412,-0.2739275540784,"s",NA,"l",-1.0618648921866,-14.6109180287495,-222.830278070583,399.852119380329,-263.596717722922,10.1349627711131,"e",NA,57.121731340047,-1108.05270007258,"e2",NA,199.230845905378,0.565093357384748,"o4","a",704.922739662678,-1.15847836309433,-5880.23788688669,0.295571475511242,-0.0234545084978691,"b","z2","h",0
-286.951305818265,-7.04693166073412,-0.355315644665156,"s",NA,"s",-1.24914888315462,-14.3623808642076,-271.555469005577,1186.69877696338,-5806104.08654726,10.3719568786269,"e",NA,169.528396709055,509.417849448756,"h2",-988.045409363286,371.372729398727,-0.163533090952476,"q3","a",-491.644875006989,-1.06302672945916,-5891.07159591474,7.30044043863024,-0.0238014407118403,"b","k1","s",0
-23.2512704556539,-7.04693166073412,-0.228887542782817,"s",NA,"l",-0.981474122478627,-13.3434235961493,-249.081587161037,818.180197694216,-116618718.010216,9.17377053967755,"c",NA,116.882885384888,535.305004983852,"n2",NA,170.129104584619,0.337735433812644,"j3","a",549.44491246659,-0.732413559081421,-5911.15016176676,-5.41907261291087,0.0540209912411417,"b","r2","s",0
-147.742984053545,-1.69244774828489e-26,-0.767919022995746,"v",FALSE,"l",-3.53542703704722,-11.9721840676423,-81.3534730501799,526.223220609594,-35.6739364532731,10.8817043739938,"a",NA,75.1747458013706,1835.63466521585,"o2",-1488.53485679414,431.647900406309,-0.345344181082372,"h1","b",1422.59140255813,-1.1392010854749,-5878.64604835856,2.10814505742712,0.0893318961789871,"m","k1","n",0
-260.122806500804,-7.04693166073412,-0.570638505683513,"s",FALSE,"l",-2.29157864420302,-12.0939717889242,-258.639460810466,272.349589771576,-42901628.8117282,10.5513164073542,"b",NA,38.9070842530823,-104.567919521034,"p1",NA,187.68060238447,0.714459834031385,"p2","b",-128.776026157104,-1.15847791441138,-5901.79624223184,-12.0858795373076,0.284971014100634,"b","r2","m",0
